                FLUXO DE CAIXA                           Saldo          02/09          03/09          04/09          05/09          06/09          09/09          10/09          11/09          12/09          13/09          16/09          17/09          18/09          19/09          20/09          23/09          24/09          25/09          26/09           Total
                                                     agosto-13            seg             ter           qua            qui            sex            seg             ter           qua            qui            sex            seg             ter           qua            qui            sex            seg             ter           qua            qui             até
 SISTEMA TRANSPORTE COLETIVO URBANO                       Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real           Real          26/09

                                                             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
SALDO INICIAL SISTEMA                                        0      2.816.382      2.806.098      3.270.959      6.364.484      2.639.560        380.907     17.312.012     11.059.650      5.478.464        262.205      2.310.646     12.766.364      2.906.769        343.833        326.698        934.837        923.858        455.140        548.645        548.645
SALDO FINAL SISTEMA                                  2.816.382      2.806.098      3.270.959      6.364.484      2.639.560        380.907     17.312.012     11.059.650      5.478.464        262.205      2.310.646     12.766.364      2.906.769        343.833        326.698        934.837        923.858        455.140        548.645      2.601.557      2.601.557
SALDO A PAGAR SISTEMA                                        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0      -4.333.855     -7.962.800    -11.351.947     -4.100.803             0              0
EMPRÉSTIMOS DEVOL. MULTA/RETENÇÃO                   25.600.000              0              0              0              0     19.600.000              0              0              0      2.600.000        220.000              0              0      3.600.000      3.600.000              0      3.350.000              0              0              0     58.570.000
EMPRÉSTIMOS DEVOL. GESTÃO                                    0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
SALDO FINAL MULTAS                                  27.268.874     27.489.694     27.633.838     27.778.223     27.716.575      8.630.700      8.779.147      8.927.606      9.074.980      6.412.473      7.935.169      8.097.293      8.259.477      4.822.437      1.152.490      3.088.241          4.662        142.418        403.618        354.717        354.717
SÁIDAS C/C MULTAS                                            0              0              0              0        206.937              0              0              0              0        211.316              0              0              0              0        232.031              0       -160.000              0              0        271.776        762.060
DÍVIDA MULTAS E RETENÇÕES                          -295.582.583   -295.582.583   -295.582.583   -295.582.583   -295.582.583   -315.182.583   -315.182.583   -315.182.583   -315.182.583   -317.782.583   -318.002.583   -318.002.583   -318.002.583   -321.602.583   -325.202.583   -325.202.583   -328.552.583   -328.552.583   -328.552.583   -328.552.583   -328.552.583

                                                             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
RECEITA TOTAL                                                0     20.189.453     17.407.687     20.095.740     13.729.243     11.333.166     37.414.891     10.720.509     12.496.907     10.447.170     34.805.929     32.305.797      8.081.845     12.092.868     14.688.365     31.043.443     11.624.081     13.182.421     25.445.743     23.613.917    360.719.175
Venda de Crédito Eletrônico                                  0     20.184.474     17.407.435     20.095.264     13.197.893     11.332.662      9.414.443     10.719.501     12.496.515     10.446.554      9.796.763      7.305.125      7.727.924     12.092.532      9.972.108      9.042.939     11.623.829     13.182.085     25.445.015     23.603.709    255.086.770
Diversas e Financeiras                                       0          4.979            252            476        531.350            504            448          1.008            392            616          9.167            672        353.921            336            224            504            252            336            728         10.208        916.373
Recursos Transp.Pes.Port.Neces.Especiais                     0              0              0              0              0              0              0              0              0              0              0              0              0              0      4.716.033              0              0              0              0              0      4.716.033
Recursos Compensações Tarifárias                             0              0              0              0              0              0     28.000.000              0              0              0     25.000.000     25.000.000              0              0              0     22.000.000              0              0              0              0    100.000.000
VENCIMENTO DO DIA                                            0     20.199.737     16.942.826     17.002.215     17.454.167     33.191.819     20.483.786     16.972.871     18.078.092     18.263.429     32.977.488     21.850.079     17.941.440     18.255.804     18.305.500     34.769.159     18.614.006     17.083.332     18.101.095     17.460.202    393.947.047
PAGAMENTO REALIZADO                                          0     20.199.737     16.942.826     17.002.215     17.454.167     33.191.819     20.483.786     16.972.871     18.078.092     18.263.429     32.977.488     21.850.079     17.941.440     18.255.804     18.305.500     30.435.304     14.985.061     13.651.139     25.352.238     21.561.005    393.904.000
Remuneração Subs. Estrutural - Vencimento                    0     12.713.745     11.068.465     11.327.012     11.640.584     20.788.076     12.003.941     11.298.602     12.141.149     12.013.656     19.599.431     13.264.104     11.856.518     12.312.626     12.361.479     20.750.414     12.850.612     11.291.086     12.059.088     11.781.412    253.121.998
                                       Pagamento             0     12.713.745     11.068.465     11.327.012     11.640.584     20.788.076     12.003.941     11.298.602     12.141.149     12.013.656     19.599.431     13.264.104     11.856.518     12.312.626     12.361.479     18.131.639      9.943.624      9.251.821     16.850.526     14.555.002    253.121.998
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0      -2.618.776     -5.525.763     -7.565.028     -2.773.590             0              0
Remuneração Subsist. Estrutural Paese                        0              0        132.945              0              0              0        302.237              0              0              0              0              0          8.649              0              0              0              0              0              0              0        443.830
